Año,Trimestre,Departamento,Poblacion_Trimestral,Tasa_Crecimiento_Trimestral_%,Periodo
2015,T1,Amazonas,408751,0.08275936368333035,2015-T1
2015,T2,Amazonas,409444,0.1695408696247838,2015-T2
2015,T3,Amazonas,410138,0.16949814870898097,2015-T3
2015,T4,Amazonas,410832,0.16921133862260995,2015-T4
2016,T1,Amazonas,411525,0.16868208902909218,2016-T1
2016,T2,Amazonas,412511,0.2395966223194217,2016-T2
2016,T3,Amazonas,413497,0.23902392905886144,2016-T3
2016,T4,Amazonas,414483,0.23845396701789853,2016-T4
2017,T1,Amazonas,415469,0.2378867167049071,2017-T1
2017,T2,Amazonas,416560,0.2625948025003069,2017-T2
2017,T3,Amazonas,417651,0.26190704820434035,2017-T3
2017,T4,Amazonas,418742,0.2612228870516292,2017-T4
2018,T1,Amazonas,419833,0.2605422909572004,2018-T1
2018,T2,Amazonas,420840,0.23985727658378453,2018-T2
2018,T3,Amazonas,421848,0.23952095808383234,2018-T3
2018,T4,Amazonas,422856,0.23894862604540024,2018-T4
2019,T1,Amazonas,423863,0.2381425355203663,2019-T1
2019,T2,Amazonas,424599,0.17364101136452106,2019-T2
2019,T3,Amazonas,425334,0.17310450566299027,2019-T3
2019,T4,Amazonas,426070,0.1730404811277725,2019-T4
2020,T1,Amazonas,426806,0.1727415682869012,2020-T1
2020,T2,Amazonas,427232,0.09981115541955829,2020-T2
2020,T3,Amazonas,427659,0.09994569695153921,2020-T3
2020,T4,Amazonas,428086,0.09984590526564388,2020-T4
2021,T1,Amazonas,428512,0.0995127147348897,2021-T1
2021,T2,Amazonas,428755,0.056707863490404,2021-T2
2021,T3,Amazonas,428998,0.05667572389826357,2021-T3
2021,T4,Amazonas,429240,0.056410519396360825,2021-T4
2022,T1,Amazonas,429483,0.05661168577019849,2022-T1
2022,T2,Amazonas,429598,0.026776379973130485,2022-T2
2022,T3,Amazonas,429713,0.026769212147170145,2022-T3
2022,T4,Amazonas,429828,0.026762048157723876,2022-T4
2023,T1,Amazonas,429943,0.026754888001712312,2023-T1
2023,T2,Amazonas,429988,0.010466503699327586,2023-T2
2023,T3,Amazonas,430033,0.010465408336976846,2023-T3
2023,T4,Amazonas,430078,0.0104643132038704,2023-T4
2024,T1,Amazonas,430123,0.010463218299936291,2024-T1
2024,T2,Amazonas,430155,0.007439732355628506,2024-T2
2024,T3,Amazonas,430187,0.0074391789006288435,2024-T3
2024,T4,Amazonas,430219,0.007438625527968069,2024-T4
2025,T1,Amazonas,430251,0.007438072237627813,2025-T1
2025,T2,Amazonas,430315,0.01487503805917941,2025-T2
2025,T3,Amazonas,430379,0.014872825720692982,2025-T3
2025,T4,Amazonas,430443,0.014870614040183187,2025-T4
2015,T1,Apurímac,421546,-0.02798436669955225,2015-T1
2015,T2,Apurímac,421793,0.05859384266485746,2015-T2
2015,T3,Apurímac,422040,0.058559530385757945,2015-T3
2015,T4,Apurímac,422287,0.05852525826935836,2015-T4
2016,T1,Apurímac,422534,0.058491026245183965,2016-T1
2016,T2,Apurímac,423080,0.12922037043172857,2016-T2
2016,T3,Apurímac,423626,0.12905360688285902,2016-T3
2016,T4,Apurímac,424171,0.12865121593103349,2016-T4
2017,T1,Apurímac,424717,0.12872167121278918,2017-T1
2017,T2,Apurímac,425368,0.1532785360604826,2017-T2
2017,T3,Apurímac,426020,0.15327904308739726,2017-T3
2017,T4,Apurímac,426672,0.15304445800666636,2017-T4
2018,T1,Apurímac,427323,0.15257621779727754,2018-T1
2018,T2,Apurímac,427889,0.13245250080150145,2018-T2
2018,T3,Apurímac,428455,0.1322772962146725,2018-T3
2018,T4,Apurímac,429021,0.13210255452731326,2018-T4
2019,T1,Apurímac,429587,0.13192827390733786,2019-T1
2019,T2,Apurímac,429874,0.06680835313917786,2019-T2
2019,T3,Apurímac,430162,0.06699637568217663,2019-T3
2019,T4,Apurímac,430449,0.0667190500323134,2019-T4
2020,T1,Apurímac,430736,0.06667456539566825,2020-T1
2020,T2,Apurímac,430704,-0.0074291445340069085,2020-T2
2020,T3,Apurímac,430672,-0.007429696496898102,2020-T3
2020,T4,Apurímac,430641,-0.007198053274882045,2020-T4
2021,T1,Apurímac,430609,-0.007430783413562573,2021-T1
2021,T2,Apurímac,430387,-0.051554890863869544,2021-T2
2021,T3,Apurímac,430164,-0.05181383266687888,2021-T3
2021,T4,Apurímac,429942,-0.051608223840209785,2021-T4
2022,T1,Apurímac,429720,-0.05163487168036619,2022-T1
2022,T2,Apurímac,429368,-0.08191380433770827,2022-T2
2022,T3,Apurímac,429016,-0.08198095805928714,2022-T3
2022,T4,Apurímac,428663,-0.08228131351744457,2022-T4
2023,T1,Apurímac,428311,-0.08211578792664634,2023-T1
2023,T2,Apurímac,427890,-0.09829306275113178,2023-T2
2023,T3,Apurímac,427468,-0.09862347799668139,2023-T3
2023,T4,Apurímac,427047,-0.0984869042828937,2023-T4
2024,T1,Apurímac,426626,-0.09858399660927251,2024-T1
2024,T2,Apurímac,426196,-0.10079085662852241,2024-T2
2024,T3,Apurímac,425766,-0.10089254709100977,2024-T3
2024,T4,Apurímac,425336,-0.1009944429569294,2024-T4
2025,T1,Apurímac,424906,-0.1010965448492486,2025-T1
2025,T2,Apurímac,424508,-0.09366777593161782,2025-T2
2025,T3,Apurímac,424110,-0.093755594711996,2025-T3
2025,T4,Apurímac,423712,-0.09384357831694608,2025-T4
2015,T1,Arequipa,1327106,0.4815460353466904,2015-T1
2015,T2,Arequipa,1334690,0.5714690461801846,2015-T2
2015,T3,Arequipa,1342275,0.5682967580486854,2015-T3
2015,T4,Arequipa,1349860,0.5650853960626547,2015-T4
2016,T1,Arequipa,1357444,0.561836042256234,2016-T1
2016,T2,Arequipa,1366119,0.6390687203302677,2016-T2
2016,T3,Arequipa,1374794,0.6350105664294252,2016-T3
2016,T4,Arequipa,1383469,0.6310036267251675,2016-T4
2017,T1,Arequipa,1392144,0.6270469378063405,2017-T1
2017,T2,Arequipa,1401285,0.6566131089887253,2017-T2
2017,T3,Arequipa,1410426,0.6523298258384269,2017-T3
2017,T4,Arequipa,1419567,0.6481020627810321,2017-T4
2018,T1,Arequipa,1428708,0.6439287472870249,2018-T1
2018,T2,Arequipa,1437690,0.6286798982017319,2018-T2
2018,T3,Arequipa,1446673,0.6248217626887577,2018-T3
2018,T4,Arequipa,1455656,0.6209419820512306,2018-T4
2019,T1,Arequipa,1464638,0.6170413888995752,2019-T1
2019,T2,Arequipa,1472838,0.5598653046008638,2019-T2
2019,T3,Arequipa,1481038,0.5567482642354421,2019-T3
2019,T4,Arequipa,1489238,0.5536657398392208,2019-T4
2020,T1,Arequipa,1497438,0.5506171612596509,2020-T1
2020,T2,Arequipa,1504746,0.48803356132273923,2020-T2
2020,T3,Arequipa,1512054,0.48566336112539926,2020-T3
2020,T4,Arequipa,1519361,0.48324993684088,2020-T4
2021,T1,Arequipa,1526669,0.48099168005497045,2021-T1
2021,T2,Arequipa,1533500,0.44744473097966875,2021-T2
2021,T3,Arequipa,1540332,0.44551679165308117,2021-T3
2021,T4,Arequipa,1547163,0.4434758220954963,2021-T4
2022,T1,Arequipa,1553994,0.4415177974137179,2022-T1
2022,T2,Arequipa,1560514,0.419564039500796,2022-T2
2022,T3,Arequipa,1567034,0.4178110545627915,2022-T3
2022,T4,Arequipa,1573555,0.4161364718314982,2022-T4
2023,T1,Arequipa,1580075,0.4143484021848617,2023-T1
2023,T2,Arequipa,1586448,0.4033352847174976,2023-T2
2023,T3,Arequipa,1592822,0.40177806016963685,2023-T3
2023,T4,Arequipa,1599196,0.40017026384617993,2023-T4
2024,T1,Arequipa,1605569,0.39851275265821073,2024-T1
2024,T2,Arequipa,1611961,0.3981143133680334,2024-T2
2024,T3,Arequipa,1618353,0.3965356481949625,2024-T3
2024,T4,Arequipa,1624744,0.39490766229617397,2024-T4
2025,T1,Arequipa,1631136,0.3934158242775477,2025-T1
2025,T2,Arequipa,1637775,0.40701695015007944,2025-T2
2025,T3,Arequipa,1644414,0.4053670375967395,2025-T3
2025,T4,Arequipa,1651053,0.4037304474420675,2025-T4
2015,T1,Ayacucho,644322,0.04161141767615759,2015-T1
2015,T2,Ayacucho,645190,0.13471525107011711,2015-T2
2015,T3,Ayacucho,646058,0.13453401323641098,2015-T3
2015,T4,Ayacucho,646926,0.13435326240058942,2015-T4
2016,T1,Ayacucho,647794,0.13417299660239349,2016-T1
2016,T2,Ayacucho,649121,0.20484907239029693,2016-T2
2016,T3,Ayacucho,650448,0.2044302988194805,2016-T3
2016,T4,Ayacucho,651774,0.20385949376429785,2016-T4
2017,T1,Ayacucho,653101,0.20359817973714814,2017-T1
2017,T2,Ayacucho,654591,0.22814235470470876,2017-T2
