Año,Departamento,Poblacion total
2018,Apurímac,427323
2018,Arequipa,1428708
2018,Ayacucho,659061
2018,Cajamarca,1438325
2018,Prov. Const. del Callao,1078789
2018,Cusco,1320530
2018,Huancavelica,376346
2018,Huánuco,757467
2018,Ica,923175
2018,Junín,1335139
2018,La Libertad,1938501
2018,Lambayeque,1270295
2018,Lima,10180641
2018,Loreto,1000350
2018,Madre de Dios,161324
2018,Moquegua,186371
2018,Pasco,271704
2018,Piura,1974368
2018,Puno,1236836
2018,San Martín,866861
2018,Tacna,354644
2018,Tumbes,241321
2018,Ucayali,558767
2019,Amazonas,423863
2019,Áncash,1169522
2019,Apurímac,429587
2019,Arequipa,1464638
2019,Ayacucho,664494
2019,Cajamarca,1447891
2019,Prov. Const. del Callao,1105512
2019,Cusco,1340457
2019,Huancavelica,371260
2019,Huánuco,759851
2019,Ica,950100
2019,Junín,1350021
2019,La Libertad,1979901
2019,Lambayeque,1292105
2019,Lima,10416139
2019,Loreto,1015212
2019,Madre de Dios,167674
2019,Moquegua,189781
2019,Pasco,272157
2019,Piura,2013517
2019,Puno,1239022
2019,San Martín,884283
2019,Tacna,363205
2019,Tumbes,246699
2019,Ucayali,574509
2020,Amazonas,426806
2020,Áncash,1180638
2020,Apurímac,430736
2020,Arequipa,1497438
2020,Ayacucho,668213
2020,Cajamarca,1453711
2020,Prov. Const. del Callao,1129854
2020,Cusco,1357075
2020,Huancavelica,365317
2020,Huánuco,760267
2020,Ica,975182
2020,Junín,1361467
2020,La Libertad,2016771
2020,Lambayeque,1310785
2020,Lima,10628470
2020,Loreto,1027559
2020,Madre de Dios,173811
2020,Moquegua,192740
2020,Pasco,271904
2020,Piura,2047954
2020,Puno,1237997
2020,San Martín,899648
2020,Tacna,370974
2020,Tumbes,251521
2020,Ucayali,589110
2021,Amazonas,428512
2021,Áncash,1188391
2021,Apurímac,430609
2021,Arequipa,1526669
2021,Ayacucho,669979
2021,Cajamarca,1455245
2021,Prov. Const. del Callao,1151480
2021,Cusco,1369932
2021,Huancavelica,358356
2021,Huánuco,758416
2021,Ica,998144
2021,Junín,1369003
2021,La Libertad,2048492
2021,Lambayeque,1325912
2021,Lima,10814450
2021,Loreto,1037055
2021,Madre de Dios,179688
2021,Moquegua,195185
2021,Pasco,270842
2021,Piura,2077039
2021,Puno,1233277
2021,San Martín,912674
2021,Tacna,377842
2021,Tumbes,255712
2021,Ucayali,602400
2022,Amazonas,429483
2022,Áncash,1194156
2022,Apurímac,429720
2022,Arequipa,1553994
2022,Ayacucho,670579
2022,Cajamarca,1454217
2022,Prov. Const. del Callao,1171648
2022,Cusco,1380594
2022,Huancavelica,350845
2022,Huánuco,755213
2022,Ica,1020050
2022,Junín,1374221
2022,La Libertad,2077345
2022,Lambayeque,1338994
2022,Lima,10986006
2022,Loreto,1044884
2022,Madre de Dios,185478
2022,Moquegua,197337
2022,Pasco,269296
2022,Piura,2103099
2022,Puno,1226353
2022,San Martín,924384
2022,Tacna,384222
2022,Tumbes,259556
2022,Ucayali,615024
2023,Amazonas,429943
2023,Áncash,1198547
2023,Apurímac,428311
2023,Arequipa,1580075
2023,Ayacucho,670377
2023,Cajamarca,1451436
2023,Prov. Const. del Callao,1190860
2023,Cusco,1389737
2023,Huancavelica,343026
2023,Huánuco,751097
2023,Ica,1041312
2023,Junín,1377838
2023,La Libertad,2104254
2023,Lambayeque,1350663
2023,Lima,11147924
2023,Loreto,1051560
2023,Madre de Dios,191259
2023,Moquegua,199286
2023,Pasco,267425
2023,Piura,2127093
2023,Puno,1217951
2023,San Martín,935194
2023,Tacna,390279
2023,Tumbes,263164
2023,Ucayali,627233
2024,Amazonas,430123
2024,Áncash,1202171
2024,Apurímac,426626
2024,Arequipa,1605569
2024,Ayacucho,669737
2024,Cajamarca,1447707
2024,Prov. Const. del Callao,1209614
2024,Cusco,1398036
2024,Huancavelica,335142
2024,Huánuco,746509
2024,Ica,1062346
2024,Junín,1380561
2024,La Libertad,2130145
2024,Lambayeque,1361554
2024,Lima,11304993
2024,Loreto,1057592
2024,Madre de Dios,197096
2024,Moquegua,201129
2024,Pasco,265392
2024,Piura,2149978
2024,Puno,1208802
2024,San Martín,945523
2024,Tacna,396180
2024,Tumbes,266653
2024,Ucayali,639279
2025,Amazonas,430251
2025,Áncash,1205639
2025,Apurímac,424906
2025,Arequipa,1631136
2025,Ayacucho,669020
2025,Cajamarca,1443839
2025,Prov. Const. del Callao,1228411
2025,Cusco,1406165
2025,Huancavelica,327440
2025,Huánuco,741887
2025,Ica,1083566
2025,Junín,1383107
2025,La Libertad,2155943
2025,Lambayeque,1372301
2025,Lima,11461995
2025,Loreto,1063495
2025,Madre de Dios,203069
2025,Moquegua,202946
2025,Pasco,263354
2025,Piura,2172710
2025,Puno,1199636
2025,San Martín,955789
2025,Tacna,402089
2025,Tumbes,270134
2025,Ucayali,651416
